Column1,Column2,Column3,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
44,88,0.77,0.801376367,0.637793732,0.033411743,0.086075631
45,90,0.77,0.802796841,0.629047394,0.030836735,0.080778275
46,92,0.77,0.799495494,0.643969309,0.050069418,0.151522363
47,94,0.77,0.808703947,0.621228564,0.036914031,0.108587255
48,96,0.77,0.805578959,0.621494293,0.031875709,0.086867952
49,98,0.77,0.797668493,0.644100916,0.04248083,0.135272846
50,100,0.77,0.80576998,0.620988393,0.031853423,0.080787276
0,0,0.9,0.101557602,2.653795004,0.009626786,0.482619981
1,2,0.9,0.110976683,2.320763731,0.056213103,0.055560142
2,4,0.9,0.174226099,2.295710325,0.153786001,0.112237932
3,6,0.9,0.162049371,2.251304102,0.235371577,0.048034221
4,8,0.9,0.204751179,2.195439434,0.229836728,0.077732959
5,10,0.9,0.326635981,2.143538666,0.139344234,0.081366249
6,12,0.9,0.349975508,2.09021368,0.24330593,0.111440242
7,14,0.9,0.415159672,2.021020555,0.177098365,0.125860495
8,16,0.9,0.465644598,1.953608632,0.199006653,0.169216368
9,18,0.9,0.526694745,1.866246009,0.113539789,0.177519975
10,20,0.9,0.534874618,1.776779938,0.083310463,0.21342356
11,22,0.9,0.589346588,1.681073165,0.140015782,0.24640819
12,24,0.9,0.623760772,1.584991574,0.084148755,0.232249896
13,26,0.9,0.612661636,1.493448496,0.102620501,0.237261859
14,28,0.9,0.651954353,1.399207759,0.086418522,0.195177512
15,30,0.9,0.655157721,1.317673969,0.160903078,0.310643501
16,32,0.9,0.670341873,1.240915084,0.123623983,0.246226169
17,34,0.9,0.676954353,1.18302145,0.130739902,0.217060123
18,36,0.9,0.682836986,1.114803243,0.0990441,0.205912264
19,38,0.9,0.691727066,1.071596074,0.117438475,0.271249046
20,40,0.9,0.688195527,1.041207004,0.089031803,0.224424956
21,42,0.9,0.713068187,0.961568606,0.084353177,0.208481819
22,44,0.9,0.728702986,0.915385652,0.054380033,0.155736226
23,46,0.9,0.708591306,0.950138271,0.065981866,0.18692111
24,48,0.9,0.734864807,0.87219137,0.093708264,0.240615925
25,50,0.9,0.741060925,0.851628852,0.038704683,0.110105883
26,52,0.9,0.727473545,0.871290624,0.064301353,0.147287697
27,54,0.9,0.758434558,0.792127812,0.039676706,0.126938498
28,56,0.9,0.754339743,0.793545449,0.05847715,0.179389151
29,58,0.9,0.757876182,0.773171771,0.03177522,0.103094999
30,60,0.9,0.745606387,0.808082223,0.075852319,0.183415722
31,62,0.9,0.771419477,0.739574015,0.040687417,0.122354415
32,64,0.9,0.753624606,0.787157404,0.129472208,0.348088279
33,66,0.9,0.750886559,0.780230939,0.099730564,0.212145241
34,68,0.9,0.77501471,0.72120297,0.022640618,0.072727778
35,70,0.9,0.768519795,0.734625912,0.077087842,0.206753067
36,72,0.9,0.772149301,0.723773003,0.03705496,0.081042931
37,74,0.9,0.775264502,0.711071432,0.033178608,0.070596226
38,76,0.9,0.775132251,0.715059435,0.043622249,0.121387289
39,78,0.9,0.790786636,0.668102622,0.024909678,0.069804222
40,80,0.9,0.7674667,0.728874671,0.078985701,0.21019691
41,82,0.9,0.783189654,0.689504552,0.03937051,0.121954092
42,84,0.9,0.791149116,0.664357257,0.066154461,0.155790443
43,86,0.9,0.790757251,0.666375661,0.031847132,0.090893511
44,88,0.9,0.795253718,0.654284918,0.055166772,0.143158629
45,90,0.9,0.800626957,0.637528551,0.029866195,0.090853057
46,92,0.9,0.803884208,0.627679837,0.02962488,0.076399556
47,94,0.9,0.798550141,0.643876779,0.044555271,0.126049857
48,96,0.9,0.807851684,0.615536833,0.034405168,0.10179703
49,98,0.9,0.811628127,0.604871309,0.026777272,0.080470297
50,100,0.9,0.802684176,0.631489289,0.027514006,0.078065046
0,0,1.2,0.093774493,2.629725075,0.043523566,0.424462412
1,2,1.2,0.131725119,2.332529163,0.057673074,0.069047162
2,4,1.2,0.139493532,2.291255474,0.052275514,0.121075945
